Date/Time(America/Paramaribo);Water_level_diver(mm)
21-4-2024 22:00;355.25
21-4-2024 23:00;353.5
22-4-2024 00:00;352.25
22-4-2024 01:00;380.92
22-4-2024 02:00;431.5
22-4-2024 03:00;437.33
22-4-2024 04:00;440.42
22-4-2024 05:00;444.25
22-4-2024 06:00;440.75
22-4-2024 07:00;440.58
22-4-2024 08:00;443.33
22-4-2024 09:00;440.92
22-4-2024 10:00;441.58
22-4-2024 11:00;440.08
22-4-2024 12:00;438.58
22-4-2024 13:00;442.75
22-4-2024 14:00;441.25
22-4-2024 15:00;442.25
22-4-2024 16:00;444.25
22-4-2024 17:00;444.67
22-4-2024 18:00;448.08
22-4-2024 19:00;451.17
22-4-2024 20:00;444.83
22-4-2024 21:00;449.67
22-4-2024 22:00;443.92
22-4-2024 23:00;442.67
23-4-2024 00:00;442.08
23-4-2024 01:00;440.42
23-4-2024 02:00;441
23-4-2024 03:00;441.25
23-4-2024 04:00;440.58
23-4-2024 05:00;438.58
23-4-2024 06:00;442.67
23-4-2024 07:00;440.17
23-4-2024 08:00;440.17
23-4-2024 09:00;442.5
23-4-2024 10:00;442.25
23-4-2024 11:00;438.25
23-4-2024 12:00;438.25
23-4-2024 13:00;439.67
23-4-2024 14:00;436.17
23-4-2024 15:00;437.83
23-4-2024 16:00;435.58
23-4-2024 17:00;439.5
23-4-2024 18:00;442.42
23-4-2024 19:00;437.75
23-4-2024 20:00;441.17
23-4-2024 21:00;438.58
23-4-2024 22:00;433.67
23-4-2024 23:00;431.25
24-4-2024 00:00;435.5
24-4-2024 01:00;433.92
24-4-2024 02:00;429.75
24-4-2024 03:00;430.58
24-4-2024 04:00;434.75
24-4-2024 05:00;435.92
24-4-2024 06:00;435.75
24-4-2024 07:00;435.67
24-4-2024 08:00;437.83
24-4-2024 09:00;434.67
24-4-2024 10:00;428.75
24-4-2024 11:00;424.58
24-4-2024 12:00;422.08
24-4-2024 13:00;421.67
24-4-2024 14:00;421.67
24-4-2024 15:00;422.75
24-4-2024 16:00;422.33
24-4-2024 17:00;421.75
24-4-2024 18:00;419
24-4-2024 19:00;421.75
24-4-2024 20:00;422
24-4-2024 21:00;418.33
24-4-2024 22:00;418.42
24-4-2024 23:00;413.17
25-4-2024 00:00;417.92
25-4-2024 01:00;411.75
25-4-2024 02:00;413.92
25-4-2024 03:00;413.33
25-4-2024 04:00;411
25-4-2024 05:00;417.25
25-4-2024 06:00;414.17
25-4-2024 07:00;410.83
25-4-2024 08:00;411.25
25-4-2024 09:00;410
25-4-2024 10:00;411.17
25-4-2024 11:00;407.08
25-4-2024 12:00;406.25
25-4-2024 13:00;402.42
25-4-2024 14:00;404.25
25-4-2024 15:00;400.42
25-4-2024 16:00;400
25-4-2024 17:00;396.58
25-4-2024 18:00;398.92
25-4-2024 19:00;398.58
25-4-2024 20:00;399.42
25-4-2024 21:00;400.92
25-4-2024 22:00;397.75
25-4-2024 23:00;394.33
26-4-2024 00:00;390.08
26-4-2024 01:00;395.67
26-4-2024 02:00;392.75
26-4-2024 03:00;392.33
26-4-2024 04:00;390.17
26-4-2024 05:00;396.25
26-4-2024 06:00;395.17
26-4-2024 07:00;395.75
26-4-2024 08:00;393.83
26-4-2024 09:00;388.33
26-4-2024 10:00;392
26-4-2024 11:00;385.92
26-4-2024 12:00;383.92
26-4-2024 13:00;385.33
26-4-2024 14:00;382.42
26-4-2024 15:00;386
26-4-2024 16:00;384.42
26-4-2024 17:00;384
26-4-2024 18:00;386.17
26-4-2024 19:00;387.17
26-4-2024 20:00;386.58
26-4-2024 21:00;381.67
26-4-2024 22:00;381.5
26-4-2024 23:00;379.83
27-4-2024 00:00;375.33
27-4-2024 01:00;375.42
27-4-2024 02:00;379.92
27-4-2024 03:00;381.17
27-4-2024 04:00;380.25
27-4-2024 05:00;375.33
27-4-2024 06:00;377.67
27-4-2024 07:00;380.08
27-4-2024 08:00;379.75
27-4-2024 09:00;380.75
27-4-2024 10:00;376
27-4-2024 11:00;374.25
27-4-2024 12:00;370.92
27-4-2024 13:00;366.17
27-4-2024 14:00;361.17
27-4-2024 15:00;376.92
27-4-2024 16:00;376.17
27-4-2024 17:00;375.83
27-4-2024 18:00;378.42
27-4-2024 19:00;377.33
27-4-2024 20:00;378.92
27-4-2024 21:00;378.25
27-4-2024 22:00;376.33
27-4-2024 23:00;372.08
28-4-2024 00:00;375.83
28-4-2024 01:00;375.33
28-4-2024 02:00;375.25
28-4-2024 03:00;375.58
28-4-2024 04:00;374.92
28-4-2024 05:00;374.08
28-4-2024 06:00;371.67
28-4-2024 07:00;372.92
28-4-2024 08:00;370.75
28-4-2024 09:00;372.33
28-4-2024 10:00;371.08
28-4-2024 11:00;370.83
28-4-2024 12:00;367.42
28-4-2024 13:00;363.17
28-4-2024 14:00;361.67
28-4-2024 15:00;357.08
28-4-2024 16:00;363.33
28-4-2024 17:00;364.08
28-4-2024 18:00;366.67
28-4-2024 19:00;367.92
28-4-2024 20:00;368.42
28-4-2024 21:00;363.42
