date,P_atm,Ref.grass,E_pot_OW
01-01-1990 00:00,2.7246214986,3.60002312086,4.0080418703400005
02-01-1990 00:00,0.8277371584,3.55895680212,3.96232119913
03-01-1990 00:00,2.0750872847,3.47021944947,3.86352653044
04-01-1990 00:00,0.9358115482,2.016258608645,2.24477700485
05-01-1990 00:00,2.292364792,2.88416580031,3.21105089201
06-01-1990 00:00,5.790680705,1.82975282613,2.037133015215
07-01-1990 00:00,10.24892168,2.77279411968,3.08705655576
08-01-1990 00:00,8.0312974528,2.852905761544,3.176247827367
09-01-1990 00:00,4.7709607321,2.89507361491,3.22319492628
10-01-1990 00:00,5.308970811,2.673025998006,2.975980931862
11-01-1990 00:00,4.1191242408,2.975699703733,3.312958982631
12-01-1990 00:00,4.4525154456000005,1.5575011334270001,1.734024903397
13-01-1990 00:00,6.8667269538,2.811668683596,3.130337072359
14-01-1990 00:00,2.2360272408,3.117886882233,3.471261420501
15-01-1990 00:00,0.6828941445000001,3.378095239645,3.7609611942670003
16-01-1990 00:00,0.9737461832,3.499326394,3.895932402
17-01-1990 00:00,7.6335258398,3.346769867,3.726085461
18-01-1990 00:00,17.01790828,2.573690833,2.865387337
19-01-1990 00:00,12.3079045377,3.155859666,3.513537938
20-01-1990 00:00,8.0715380681,3.069018858,3.416854736
21-01-1990 00:00,12.7838516777,2.594131395,2.888144595
22-01-1990 00:00,7.9623164328,2.255952273,2.51163698
23-01-1990 00:00,5.3998083328,3.0396231879999998,3.384127435
24-01-1990 00:00,1.1186040893,3.097473365,3.448534237
25-01-1990 00:00,1.7290488198,3.637534604,4.049804849
26-01-1990 00:00,1.6152374656000001,3.464415578,3.857064884
27-01-1990 00:00,2.2406428676,3.347095651,3.7264482709999998
28-01-1990 00:00,2.0992345626,3.50617396,3.903556031
29-01-1990 00:00,19.801154519,2.085056916,2.321372776
30-01-1990 00:00,10.6604879017,3.068941153,3.416768227
31-01-1990 00:00,14.2105371287,2.6103656514,2.9062188056
01-02-1990 00:00,16.684521318599998,2.8263467545,3.146678743
02-02-1990 00:00,5.6101902344,2.546807285,2.835456902
03-02-1990 00:00,15.2336992492,2.598294387,2.892779377
04-02-1990 00:00,7.566846988,2.882308988,3.208983638
05-02-1990 00:00,1.1565424387,3.475109372,3.868970702
06-02-1990 00:00,11.457178785,2.500665676,2.78408573
07-02-1990 00:00,11.4709716451,3.283884773,3.656073037
08-02-1990 00:00,4.2950138478,3.484696809,3.879644693
09-02-1990 00:00,1.2669078979,3.378112924,3.760980848
10-02-1990 00:00,0.17474592,3.87795137,4.317469874
11-02-1990 00:00,0.8829161440000001,3.699733706,4.119053517
12-02-1990 00:00,1.8267631494,3.717117173,4.138407102
13-02-1990 00:00,1.2887455615999999,3.454451837,3.845972008
14-02-1990 00:00,1.608330749,3.796516762,4.226805594
15-02-1990 00:00,0.018399209099999998,4.157152882,4.628315635
16-02-1990 00:00,1.2094154965000001,3.728258953,4.150811545
17-02-1990 00:00,0.2724677344,3.35921934,3.739945849
18-02-1990 00:00,0.32304599970000003,3.789429218,4.218914867
19-02-1990 00:00,1.9359811861,3.8055835173759998,4.236900091361
20-02-1990 00:00,0.325344503,3.636884112987,4.049080618276
21-02-1990 00:00,0.227633865,3.878862500345,4.318484329532
22-02-1990 00:00,0.0,4.330197058126,4.820972241362
23-02-1990 00:00,0.38973986239999997,4.220209684666,4.698519013528
24-02-1990 00:00,1.0162741001,3.876672424776,4.316045969844
25-02-1990 00:00,3.0177794116000003,3.586949051194,3.99348612099
26-02-1990 00:00,16.5534632259,3.16159933108,3.5199281300839997
27-02-1990 00:00,2.0992271618,2.893333366858,3.2212574542540002
28-02-1990 00:00,8.2577653404,3.7039707735,4.12377075579
01-03-1990 00:00,2.3992806221,3.656678696144,4.07111859137
02-03-1990 00:00,1.8187165201,3.31500163318,3.69071665335
03-03-1990 00:00,5.0549098176,3.87598405448,4.31527968104
04-03-1990 00:00,11.5709899673,3.2941257452399997,3.6674748188199997
05-03-1990 00:00,12.268811302200001,3.2477478922,3.6158405882899998
06-03-1990 00:00,3.0511207566,3.58504670641,3.9913681205500002
07-03-1990 00:00,3.5500637753,3.02866010909,3.37192186424
08-03-1990 00:00,4.4341124776,3.07350772789,3.42185239125
09-03-1990 00:00,11.360608150500001,2.815283304,3.1343613421
10-03-1990 00:00,9.9316273824,2.5054972498,2.78946487806
11-03-1990 00:00,0.9392574332,4.14436978773,4.6140836457
12-03-1990 00:00,2.046350404,3.7917662007599997,4.22151674175
13-03-1990 00:00,1.1208951577,3.65399027028,4.06812562513
14-03-1990 00:00,1.0864101402,3.81987873207,4.25281540487
15-03-1990 00:00,1.823324728,3.50201394627,3.8989245361
16-03-1990 00:00,0.1850910497,3.5098149778,3.9076097389999997
17-03-1990 00:00,0.250622628,3.2173720072000003,3.5820219457
18-03-1990 00:00,0.2908557687,2.03544284806,2.26613548596
19-03-1990 00:00,0.2299286405,3.7369136559999996,4.1604472574999996
20-03-1990 00:00,2.26361678,3.18173085956,3.5423412933000002
21-03-1990 00:00,8.64519561,2.8659627890999997,3.1907847135
22-03-1990 00:00,1.7221532945,3.8012487592,4.232073951
23-03-1990 00:00,2.0980760464,3.6548995201,4.0691378055000005
24-03-1990 00:00,1.5336125886,3.7044492999,4.1243035092
25-03-1990 00:00,1.7669759725,3.8949751196,4.3364230511
26-03-1990 00:00,2.495843916,3.525113155,3.9246417315
27-03-1990 00:00,2.0716339467,3.54765509,3.9497386006
28-03-1990 00:00,4.0972679495,3.6178552317,4.0278950029
