id,title,greenroof_type_measure,Ain_def,pr_meas_area,cp_meas_area,op_meas_area,up_meas_area,uz_meas_area,gw_meas_area,swds_meas_area,mss_meas_area,ow_meas_area,pr_meas_inflow_area,cp_meas_inflow_area,op_meas_inflow_area,up_meas_inflow_area,ow_meas_inflow_area,num_stor_lvl,runoff_to_stor_layer,EV_evaporation,ET_transpiration,IN_infiltration,SD_delay,FD_pumping,surf_runoff_meas_OW,ctrl_runoff_meas_OW,overflow_meas_OW,surf_runoff_meas_UZ,ctrl_runoff_meas_UZ,overflow_meas_UZ,surf_runoff_meas_GW,ctrl_runoff_meas_GW,overflow_meas_GW,surf_runoff_meas_SWDS,ctrl_runoff_meas_SWDS,overflow_meas_SWDS,surf_runoff_meas_MSS,ctrl_runoff_meas_MSS,overflow_meas_MSS,surf_runoff_meas_Out,ctrl_runoff_meas_Out,overflow_meas_Out,storcap_int_meas,infilcap_int_meas,intstor_meas_t0,storcap_top_meas,infilcap_top_meas,stor_top_meas_t0,storcap_btm_meas,connection_to_gw,limited_by_gwl,btm_level_meas,btm_meas_transpiration,btm_discharge_type,runoffcap_btm_meas,runoffcap_meas_soil_inherit,runoffcap_stor_dependent,runoffcap_stor_factor,dischlvl_btm_meas,c_btm_meas,stor_btm_meas_t0,evaporation_factor_meas
36,Swale,FALSE,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,125,0,100,2000,0,1000,1,0,0,1,1,0,0,0,0,0,2,0,0.8982
37,Systems for rainwater harvesting,FALSE,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.6,1000000,0,0,0,0,1000,0,0,0,0,1,0,0,0,0,0,10,0,1
40,Water roof,FALSE,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,Water square,FALSE,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.6,1000000,0,0,0,0,2000,0,0,0,1,0,1000,0,1,0.5,0,2,0,1
42,Green roofs with drainage delay,TRUE,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,5,5760,0,30,5760,0,100,0,0,0,1,1,0,0,0,0,0,2,0,0.8982
45,Hollow roads,FALSE,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1000000,0,0,0,0,100,0,0,0,1,1,0,0,0,0,0,2,0,1
46,Underground storage,FALSE,30,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1000000,0,0,0,0,2000,0,0,0,0,0,1000,0,1,0.5,0,0,0,1
53,Use of groundwater (aquifer storage and recovery),FALSE,5000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1.00E+11,0,0,0,0,1000,0,0,0,0,0,0,0,1,15.7,0,0,0,1
70,Infiltration recreation field,FALSE,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,20,125,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0.8982
71,Rainwater detention pond (wet pond),FALSE,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1000000,0,0,0,0,2000,1,0,0,1,0,0,0,0,0,1000,2,1000,1
72,Bioretention cell,FALSE,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,20,600,0,100,2000,0,1000,1,0,0,1,1,0,0,0,0,0,2,0,1
82,Gravel layers,FALSE,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1000000,0,0,0,0,1000,1,0,0,1,1,0,0,0,0,0,2,0,0.8982
90,Permeable pavement (storage),FALSE,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1000000,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,2,0,1
92,Lowering part of terrace,FALSE,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1000000,0,0,0,0,1000,0,0,0,1,1,0,0,0,0,0,2,0,1
93,Lowering part of garden,FALSE,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,1000,1,0,0,1,0,0,0,0,0,0,2,0,1
95,Rain garden,FALSE,1.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,20,600,0,0,0,0,1000,1,0,0,1,0,5760,1,0,0,0,0,0,0.8982
